2017-11-19 15:36:23,296 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2017-11-19 15:36:23,303 | INFO | CamelTestSupport.java 244 | Testing: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-19 15:36:23,304 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2017-11-19 15:36:24,198 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-19 15:36:24,200 | INFO | DefaultManagementStrategy.java 238 | JMX is disabled
2017-11-19 15:36:24,288 | INFO | DefaultTypeConverter.java 56 | Loaded 193 type converters
2017-11-19 15:36:24,433 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-19 15:36:24,722 | INFO | FailoverTransport.java 1052 | Successfully connected to tcp://localhost:61616
2017-11-19 15:36:24,776 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: activemq://queue:Camel&ActiveMQ
2017-11-19 15:36:24,777 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-19 15:36:24,779 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.578 seconds
2017-11-19 15:36:24,828 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: String, Body: 123]
2017-11-19 15:36:24,831 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2017-11-19 15:36:24,832 | INFO | CamelTestSupport.java 390 | Testing done: readMessageFromActiveMQ(com.egaints.activemq.activemqcamel.jms.JmsReadRouteTest)
2017-11-19 15:36:24,832 | INFO | CamelTestSupport.java 391 | Took: 0.051 seconds (51 millis)
2017-11-19 15:36:24,832 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2017-11-19 15:36:24,847 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-19 15:36:24,848 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-11-19 15:36:25,842 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: activemq://queue:Camel&ActiveMQ
